Step,Active_Loads,Completed_Loads,Expired_Loads,Coverage_Rate,Total_Revenue,Total_Cost,Total_Penalties,Broker_Profit,Available_Carriers,Average_Carrier_Revenue,Consecutive_Failures,Week,Profit_Margin,Load_Success_Rate
0,8,8,0,1.0,4526.862793152079,2116.03,0,2410.8327931520785,20,105.8015,0,0,53.25614897802994,1.0
1,4,12,0,1.0,6924.299245749835,3413.54,0,3510.759245749835,20,170.677,0,0,50.70201505090576,1.0
2,2,14,0,1.0,8120.509304282008,3855.58,0,4264.929304282008,20,192.779,0,0,52.52046570568027,1.0
3,1,16,0,1.0,9318.567728015667,4479.849999999999,0,4838.7177280156675,20,223.9925,0,0,51.9255519651199,1.0
4,0,17,0,1.0,9889.700097569797,4772.429999999999,0,5117.270097569798,20,238.62150000000003,0,0,51.74343050935658,1.0
5,0,17,0,1.0,9889.700097569797,4772.429999999999,0,5117.270097569798,20,238.62150000000003,0,0,51.74343050935658,1.0
6,0,18,0,1.0,10506.703539118645,4976.799999999999,0,5529.903539118646,20,248.84,0,0,52.632145929783434,1.0
7,0,18,0,1.0,10506.703539118645,4976.799999999999,0,5529.903539118646,20,248.84,0,0,52.632145929783434,1.0
8,0,18,0,1.0,10506.703539118645,4976.799999999999,0,5529.903539118646,20,248.84,0,0,52.632145929783434,1.0
9,0,18,0,1.0,10506.703539118645,4976.799999999999,0,5529.903539118646,20,248.84,0,0,52.632145929783434,1.0
10,0,18,0,1.0,10506.703539118645,4976.799999999999,0,5529.903539118646,20,248.84,0,0,52.632145929783434,1.0
11,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
12,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
13,0,19,0,1.0,11061.667199093,5251.279999999999,0,5810.387199093002,20,262.56399999999996,0,0,52.527228441382,1.0
