Step,Active_Loads,Completed_Loads,Expired_Loads,Coverage_Rate,Total_Revenue,Total_Cost,Total_Penalties,Broker_Profit,Available_Carriers,Average_Carrier_Revenue,Consecutive_Failures,Week,Profit_Margin,Load_Success_Rate
0,6,6,0,1.0,3443.9980940694068,2201.86,0,1242.1380940694066,15,146.79066666666668,0,0,36.06674742963356,1.0
1,3,10,0,1.0,5802.723634176834,3360.57,0,2442.1536341768337,15,224.03799999999998,0,0,42.08633373116475,1.0
2,2,12,0,1.0,6953.088530839073,4165.27,0,2787.818530839073,15,277.68466666666666,0,0,40.09467905484369,1.0
3,1,14,0,1.0,8048.136590057867,4709.18,0,3338.9565900578664,15,313.9453333333333,0,0,41.48732508072231,1.0
4,1,15,0,1.0,8632.75060535314,4874.1,0,3758.6506053531393,15,324.93999999999994,0,0,43.5394322989293,1.0
5,0,16,0,1.0,9243.040970435244,5248.04,0,3995.000970435244,15,349.8693333333333,0,0,43.22171656723842,1.0
6,0,17,0,1.0,9793.706351363966,5491.39,0,4302.316351363966,15,366.0926666666666,0,0,43.92939911624759,1.0
7,0,18,0,1.0,10376.162871363096,5845.84,0,4530.322871363096,15,389.72266666666667,0,0,43.66086893129075,1.0
8,0,18,0,1.0,10376.162871363096,5845.84,0,4530.322871363096,15,389.72266666666667,0,0,43.66086893129075,1.0
9,0,19,0,1.0,10992.58200773637,6082.78,0,4909.80200773637,15,405.51866666666666,0,0,44.664683913942554,1.0
10,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
11,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
12,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
13,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
14,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
15,0,20,0,1.0,11583.917732641712,6393.7,0,5190.217732641712,15,426.24666666666667,0,0,44.805374592884675,1.0
16,0,21,0,1.0,12110.422017252018,6722.79,0,5387.632017252018,15,448.186,0,0,44.48756624316655,1.0
17,0,21,0,1.0,12110.422017252018,6722.79,0,5387.632017252018,15,448.186,0,0,44.48756624316655,1.0
18,0,21,0,1.0,12110.422017252018,6722.79,0,5387.632017252018,15,448.186,0,0,44.48756624316655,1.0
19,0,22,0,1.0,12732.420139687454,7040.47,0,5691.950139687454,15,469.36466666666666,0,0,44.70438516198049,1.0
20,0,23,0,1.0,13294.95906866217,7229.51,0,6065.44906866217,15,481.96733333333333,0,0,45.622171812165774,1.0
21,0,23,0,1.0,13294.95906866217,7229.51,0,6065.44906866217,15,481.96733333333333,0,0,45.622171812165774,1.0
22,0,24,0,1.0,13843.335147220076,7512.9800000000005,0,6330.355147220075,15,500.86533333333335,0,0,45.728540701344606,1.0
23,0,24,0,1.0,13843.335147220076,7512.9800000000005,0,6330.355147220075,15,500.86533333333335,0,0,45.728540701344606,1.0
24,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
25,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
26,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
27,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
28,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
29,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
30,0,25,0,1.0,14406.519068582285,7752.13,0,6654.389068582285,15,516.8086666666667,0,0,46.19012432430098,1.0
31,0,26,0,1.0,15006.997981375034,8122.54,0,6884.457981375034,15,541.5026666666666,0,0,45.874984390077444,1.0
32,0,27,0,1.0,15567.72303858263,8448.29,0,7119.433038582629,15,563.2193333333332,0,0,45.73201245254695,1.0
33,0,28,0,1.0,16153.653726699666,8660.710000000001,0,7492.943726699665,15,577.3806666666666,0,0,46.38544228736875,1.0
34,0,28,0,1.0,16153.653726699666,8660.710000000001,0,7492.943726699665,15,577.3806666666666,0,0,46.38544228736875,1.0
35,0,29,0,1.0,16688.79764100229,9003.92,0,7684.877641002289,15,600.2613333333334,0,0,46.048120459687915,1.0
36,0,29,0,1.0,16688.79764100229,9003.92,0,7684.877641002289,15,600.2613333333334,0,0,46.048120459687915,1.0
37,0,29,0,1.0,16688.79764100229,9003.92,0,7684.877641002289,15,600.2613333333334,0,0,46.048120459687915,1.0
38,0,29,0,1.0,16688.79764100229,9003.92,0,7684.877641002289,15,600.2613333333334,0,0,46.048120459687915,1.0
39,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
40,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
41,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
42,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
43,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
44,0,30,0,1.0,17250.122743808908,9294.14,0,7955.982743808909,15,619.6093333333333,0,0,46.121310914522745,1.0
45,0,31,0,1.0,17800.40874642229,9527.939999999999,0,8272.468746422292,15,635.196,0,0,46.473476335676715,1.0
46,0,31,0,1.0,17800.40874642229,9527.939999999999,0,8272.468746422292,15,635.196,0,0,46.473476335676715,1.0
47,0,31,0,1.0,17800.40874642229,9527.939999999999,0,8272.468746422292,15,635.196,0,0,46.473476335676715,1.0
48,0,31,0,1.0,17800.40874642229,9527.939999999999,0,8272.468746422292,15,635.196,0,0,46.473476335676715,1.0
49,0,32,0,1.0,18344.660895304856,9808.149999999998,0,8536.510895304858,15,653.8766666666667,0,0,46.53403485637447,1.0
50,0,33,0,1.0,18966.374876072772,10138.769999999999,0,8827.604876072774,15,675.918,0,0,46.54344825383227,1.0
51,0,33,0,1.0,18966.374876072772,10138.769999999999,0,8827.604876072774,15,675.918,0,0,46.54344825383227,1.0
52,0,33,0,1.0,18966.374876072772,10138.769999999999,0,8827.604876072774,15,675.918,0,0,46.54344825383227,1.0
53,0,33,0,1.0,18966.374876072772,10138.769999999999,0,8827.604876072774,15,675.918,0,0,46.54344825383227,1.0
54,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
55,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
56,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
57,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
58,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
59,0,34,0,1.0,19494.514004641194,10392.819999999998,0,9101.694004641196,15,692.8546666666666,0,0,46.68848888704942,1.0
60,0,35,0,1.0,20049.822181904834,10674.909999999998,0,9374.912181904836,15,711.6606666666667,0,0,46.75808142760383,1.0
61,0,36,0,1.0,20592.415644097677,10951.089999999998,0,9641.325644097678,15,730.0726666666667,0,0,46.81978943476277,1.0
62,0,37,0,1.0,21209.152339576995,11235.319999999998,0,9973.832339576997,15,749.0213333333335,0,0,47.02607713824323,1.0
63,0,38,0,1.0,21763.999577526985,11479.499999999998,0,10284.499577526987,15,765.3000000000001,0,0,47.25463966718015,1.0
64,0,38,0,1.0,21763.999577526985,11479.499999999998,0,10284.499577526987,15,765.3000000000001,0,0,47.25463966718015,1.0
65,0,38,0,1.0,21763.999577526985,11479.499999999998,0,10284.499577526987,15,765.3000000000001,0,0,47.25463966718015,1.0
66,0,39,0,1.0,22348.305460272077,11713.609999999999,0,10634.695460272078,15,780.9073333333333,0,0,47.58613792520897,1.0
67,0,40,0,1.0,22945.402973036384,11925.489999999998,0,11019.912973036386,15,795.0326666666667,0,0,48.0266700305334,1.0
68,0,40,0,1.0,22945.402973036384,11925.489999999998,0,11019.912973036386,15,795.0326666666667,0,0,48.0266700305334,1.0
